dataset_dir: /datasets/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 256
codebook_dim: 8
project_dim: 16
pq: 2
L: 4
alpha: 1.0
beta: 1.0
gamma: 1.0
disc_weight: 0.2
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: wasserstein_vq
use_multiscale: False
transplant_epochs: 2
refinement_epochs: 5
eval_epochs: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 0.0001
stage: transplant
checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/Transplant/ImageNet
results_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/results/Transplant/ImageNet
saver_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/saver/Transplant/ImageNet
reconstruction_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/reconstruction/Transplant/ImageNet
yaml_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/yaml/Transplant/ImageNet
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/VQ-Transplant/pretrained_tokenizer/model.ckpt
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/
data_pre: ImageNet
model_pre: model_256_8_2
loss_pre: loss_1.0_1.0_1.0_0.2
training_pre: wasserstein_vq_transplant_False
saver_name_pre: wasserstein_vq_transplant_False_ImageNet_model_256_8_2_loss_1.0_1.0_1.0_0.2
| distributed init (rank 0): env://
| distributed init (rank 1): env://
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
Working with z of shape (1, 16, 16, 16) = 4096 dimensions.
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
VQ Model Parameters: 69609635
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/2] Iters:[10/20018] transplant_loss 13.9628, rec_loss 0.1732, quant_error 2.7242, utilization 0.0567, perplexity 1383.3898,
Train Epoch: [1/2] Iters:[20/20018] transplant_loss 18.6905, rec_loss 0.1462, quant_error 2.4352, utilization 0.0570, perplexity 1405.2427,
Train Epoch: [1/2] Iters:[30/20018] transplant_loss 17.9430, rec_loss 0.1303, quant_error 2.2591, utilization 0.0633, perplexity 1745.8609,
Train Epoch: [1/2] Iters:[40/20018] transplant_loss 17.1291, rec_loss 0.1219, quant_error 2.1379, utilization 0.0697, perplexity 2109.1664,
Train Epoch: [1/2] Iters:[50/20018] transplant_loss 15.8392, rec_loss 0.1148, quant_error 2.0359, utilization 0.0774, perplexity 2596.4967,
Train Epoch: [1/2] Iters:[60/20018] transplant_loss 14.6031, rec_loss 0.0961, quant_error 1.7962, utilization 0.0919, perplexity 3516.0952,
Train Epoch: [1/2] Iters:[70/20018] transplant_loss 11.2582, rec_loss 0.0862, quant_error 1.6390, utilization 0.1093, perplexity 4677.9768,
Train Epoch: [1/2] Iters:[80/20018] transplant_loss 9.2246, rec_loss 0.0815, quant_error 1.5114, utilization 0.1254, perplexity 5810.4154,
Train Epoch: [1/2] Iters:[90/20018] transplant_loss 7.4777, rec_loss 0.0766, quant_error 1.3936, utilization 0.1406, perplexity 6927.1053,
Train Epoch: [1/2] Iters:[100/20018] transplant_loss 6.5062, rec_loss 0.0733, quant_error 1.2909, utilization 0.1532, perplexity 7885.7282,
Train Epoch: [1/2] Iters:[110/20018] transplant_loss 6.0860, rec_loss 0.0718, quant_error 1.2023, utilization 0.1627, perplexity 8628.5557,
Train Epoch: [1/2] Iters:[120/20018] transplant_loss 5.8405, rec_loss 0.0712, quant_error 1.1334, utilization 0.1696, perplexity 9167.7970,
Train Epoch: [1/2] Iters:[130/20018] transplant_loss 5.6049, rec_loss 0.0699, quant_error 1.0747, utilization 0.1748, perplexity 9576.6604,
Train Epoch: [1/2] Iters:[140/20018] transplant_loss 5.3965, rec_loss 0.0672, quant_error 1.0225, utilization 0.1783, perplexity 9813.9692,
Train Epoch: [1/2] Iters:[150/20018] transplant_loss 5.1793, rec_loss 0.0663, quant_error 0.9857, utilization 0.1807, perplexity 9960.5971,
Train Epoch: [1/2] Iters:[160/20018] transplant_loss 4.9824, rec_loss 0.0647, quant_error 0.9520, utilization 0.1822, perplexity 10036.7228,
Train Epoch: [1/2] Iters:[170/20018] transplant_loss 4.8025, rec_loss 0.0642, quant_error 0.9295, utilization 0.1831, perplexity 10068.0962,
Train Epoch: [1/2] Iters:[180/20018] transplant_loss 4.7065, rec_loss 0.0638, quant_error 0.9173, utilization 0.1833, perplexity 10043.9227,
Train Epoch: [1/2] Iters:[190/20018] transplant_loss 4.6259, rec_loss 0.0642, quant_error 0.9089, utilization 0.1832, perplexity 10022.1669,
Train Epoch: [1/2] Iters:[200/20018] transplant_loss 4.5569, rec_loss 0.0639, quant_error 0.8935, utilization 0.1828, perplexity 9975.2237,
Train Epoch: [1/2] Iters:[210/20018] transplant_loss 4.5044, rec_loss 0.0633, quant_error 0.8852, utilization 0.1818, perplexity 9852.6983,
Train Epoch: [1/2] Iters:[220/20018] transplant_loss 4.4803, rec_loss 0.0623, quant_error 0.8765, utilization 0.1806, perplexity 9721.9348,
Train Epoch: [1/2] Iters:[230/20018] transplant_loss 4.4382, rec_loss 0.0611, quant_error 0.8601, utilization 0.1794, perplexity 9587.9107,
Train Epoch: [1/2] Iters:[240/20018] transplant_loss 4.4127, rec_loss 0.0618, quant_error 0.8494, utilization 0.1786, perplexity 9509.0294,
Train Epoch: [1/2] Iters:[250/20018] transplant_loss 4.4059, rec_loss 0.0601, quant_error 0.8409, utilization 0.1775, perplexity 9401.5271,
Train Epoch: [1/2] Iters:[260/20018] transplant_loss 4.3900, rec_loss 0.0596, quant_error 0.8272, utilization 0.1771, perplexity 9373.4426,
Train Epoch: [1/2] Iters:[270/20018] transplant_loss 4.3874, rec_loss 0.0596, quant_error 0.8171, utilization 0.1766, perplexity 9327.2027,
Train Epoch: [1/2] Iters:[280/20018] transplant_loss 4.3700, rec_loss 0.0593, quant_error 0.8096, utilization 0.1765, perplexity 9331.2015,
Train Epoch: [1/2] Iters:[290/20018] transplant_loss 4.3651, rec_loss 0.0581, quant_error 0.8033, utilization 0.1765, perplexity 9325.7104,
Train Epoch: [1/2] Iters:[300/20018] transplant_loss 4.3565, rec_loss 0.0588, quant_error 0.7983, utilization 0.1768, perplexity 9356.6915,
Train Epoch: [1/2] Iters:[310/20018] transplant_loss 4.3367, rec_loss 0.0581, quant_error 0.7905, utilization 0.1773, perplexity 9418.8634,
Train Epoch: [1/2] Iters:[320/20018] transplant_loss 4.2931, rec_loss 0.0581, quant_error 0.7818, utilization 0.1781, perplexity 9518.6643,
Train Epoch: [1/2] Iters:[330/20018] transplant_loss 4.2728, rec_loss 0.0583, quant_error 0.7767, utilization 0.1789, perplexity 9626.5223,
Train Epoch: [1/2] Iters:[340/20018] transplant_loss 4.2452, rec_loss 0.0575, quant_error 0.7683, utilization 0.1794, perplexity 9670.7983,
Train Epoch: [1/2] Iters:[350/20018] transplant_loss 4.2177, rec_loss 0.0566, quant_error 0.7595, utilization 0.1800, perplexity 9754.6579,
Train Epoch: [1/2] Iters:[360/20018] transplant_loss 4.1935, rec_loss 0.0564, quant_error 0.7555, utilization 0.1806, perplexity 9817.9268,
Train Epoch: [1/2] Iters:[370/20018] transplant_loss 4.1786, rec_loss 0.0553, quant_error 0.7505, utilization 0.1812, perplexity 9882.6152,
Train Epoch: [1/2] Iters:[380/20018] transplant_loss 4.1741, rec_loss 0.0562, quant_error 0.7471, utilization 0.1816, perplexity 9930.7354,
Train Epoch: [1/2] Iters:[390/20018] transplant_loss 4.1562, rec_loss 0.0561, quant_error 0.7425, utilization 0.1823, perplexity 10013.6883,
Train Epoch: [1/2] Iters:[400/20018] transplant_loss 4.1460, rec_loss 0.0559, quant_error 0.7406, utilization 0.1828, perplexity 10050.0403,
Train Epoch: [1/2] Iters:[410/20018] transplant_loss 4.1264, rec_loss 0.0553, quant_error 0.7353, utilization 0.1833, perplexity 10110.5464,
Train Epoch: [1/2] Iters:[420/20018] transplant_loss 4.1182, rec_loss 0.0548, quant_error 0.7308, utilization 0.1836, perplexity 10158.3554,
Train Epoch: [1/2] Iters:[430/20018] transplant_loss 4.0776, rec_loss 0.0525, quant_error 0.7247, utilization 0.1838, perplexity 10174.5892,
Train Epoch: [1/2] Iters:[440/20018] transplant_loss 4.0769, rec_loss 0.0530, quant_error 0.7253, utilization 0.1842, perplexity 10212.6412,
Train Epoch: [1/2] Iters:[450/20018] transplant_loss 4.0444, rec_loss 0.0527, quant_error 0.7203, utilization 0.1848, perplexity 10281.7364,
Train Epoch: [1/2] Iters:[460/20018] transplant_loss 4.0241, rec_loss 0.0526, quant_error 0.7167, utilization 0.1850, perplexity 10286.0737,
Train Epoch: [1/2] Iters:[470/20018] transplant_loss 4.0135, rec_loss 0.0524, quant_error 0.7123, utilization 0.1857, perplexity 10335.0575,
Train Epoch: [1/2] Iters:[480/20018] transplant_loss 4.0043, rec_loss 0.0524, quant_error 0.7078, utilization 0.1864, perplexity 10408.9794,
Train Epoch: [1/2] Iters:[490/20018] transplant_loss 3.9637, rec_loss 0.0509, quant_error 0.6982, utilization 0.1865, perplexity 10401.3014,
Train Epoch: [1/2] Iters:[500/20018] transplant_loss 3.9609, rec_loss 0.0512, quant_error 0.6960, utilization 0.1865, perplexity 10385.2044,
Train Epoch: [1/2] Iters:[510/20018] transplant_loss 3.9744, rec_loss 0.0520, quant_error 0.6996, utilization 0.1869, perplexity 10433.1189,
Train Epoch: [1/2] Iters:[520/20018] transplant_loss 3.9467, rec_loss 0.0519, quant_error 0.6950, utilization 0.1870, perplexity 10431.2564,
Train Epoch: [1/2] Iters:[530/20018] transplant_loss 3.9280, rec_loss 0.0521, quant_error 0.6918, utilization 0.1872, perplexity 10448.8618,
Train Epoch: [1/2] Iters:[540/20018] transplant_loss 3.9159, rec_loss 0.0528, quant_error 0.6909, utilization 0.1877, perplexity 10513.6725,
Train Epoch: [1/2] Iters:[550/20018] transplant_loss 3.8823, rec_loss 0.0523, quant_error 0.6849, utilization 0.1881, perplexity 10562.5672,
Train Epoch: [1/2] Iters:[560/20018] transplant_loss 3.8538, rec_loss 0.0514, quant_error 0.6768, utilization 0.1884, perplexity 10589.8618,
Train Epoch: [1/2] Iters:[570/20018] transplant_loss 3.8266, rec_loss 0.0516, quant_error 0.6760, utilization 0.1889, perplexity 10622.9060,
Train Epoch: [1/2] Iters:[580/20018] transplant_loss 3.8273, rec_loss 0.0512, quant_error 0.6779, utilization 0.1889, perplexity 10598.2262,
Train Epoch: [1/2] Iters:[590/20018] transplant_loss 3.8208, rec_loss 0.0517, quant_error 0.6768, utilization 0.1890, perplexity 10599.3069,
Train Epoch: [1/2] Iters:[600/20018] transplant_loss 3.8279, rec_loss 0.0514, quant_error 0.6773, utilization 0.1897, perplexity 10672.4326,
Train Epoch: [1/2] Iters:[610/20018] transplant_loss 3.8295, rec_loss 0.0517, quant_error 0.6766, utilization 0.1899, perplexity 10687.5291,
Train Epoch: [1/2] Iters:[620/20018] transplant_loss 3.8345, rec_loss 0.0515, quant_error 0.6740, utilization 0.1902, perplexity 10729.4714,
Train Epoch: [1/2] Iters:[630/20018] transplant_loss 3.8198, rec_loss 0.0509, quant_error 0.6696, utilization 0.1904, perplexity 10754.5457,
Train Epoch: [1/2] Iters:[640/20018] transplant_loss 3.8059, rec_loss 0.0495, quant_error 0.6651, utilization 0.1908, perplexity 10824.2327,
Train Epoch: [1/2] Iters:[650/20018] transplant_loss 3.8094, rec_loss 0.0495, quant_error 0.6626, utilization 0.1910, perplexity 10850.2853,
Train Epoch: [1/2] Iters:[660/20018] transplant_loss 3.7871, rec_loss 0.0488, quant_error 0.6575, utilization 0.1912, perplexity 10867.6154,
Train Epoch: [1/2] Iters:[670/20018] transplant_loss 3.7814, rec_loss 0.0488, quant_error 0.6588, utilization 0.1915, perplexity 10921.4603,
Train Epoch: [1/2] Iters:[680/20018] transplant_loss 3.7830, rec_loss 0.0487, quant_error 0.6573, utilization 0.1919, perplexity 10955.7619,
Train Epoch: [1/2] Iters:[690/20018] transplant_loss 3.7760, rec_loss 0.0489, quant_error 0.6535, utilization 0.1921, perplexity 10958.0821,
Train Epoch: [1/2] Iters:[700/20018] transplant_loss 3.7643, rec_loss 0.0496, quant_error 0.6552, utilization 0.1922, perplexity 10934.4959,
Train Epoch: [1/2] Iters:[710/20018] transplant_loss 3.7595, rec_loss 0.0497, quant_error 0.6555, utilization 0.1924, perplexity 10938.3625,
Train Epoch: [1/2] Iters:[720/20018] transplant_loss 3.7444, rec_loss 0.0497, quant_error 0.6500, utilization 0.1924, perplexity 10917.6923,
Train Epoch: [1/2] Iters:[730/20018] transplant_loss 3.7266, rec_loss 0.0500, quant_error 0.6456, utilization 0.1927, perplexity 10945.0958,
Train Epoch: [1/2] Iters:[740/20018] transplant_loss 3.7280, rec_loss 0.0507, quant_error 0.6474, utilization 0.1927, perplexity 10928.2229,
Train Epoch: [1/2] Iters:[750/20018] transplant_loss 3.7110, rec_loss 0.0497, quant_error 0.6434, utilization 0.1927, perplexity 10929.9695,
Train Epoch: [1/2] Iters:[760/20018] transplant_loss 3.7198, rec_loss 0.0493, quant_error 0.6410, utilization 0.1931, perplexity 10987.9342,
Train Epoch: [1/2] Iters:[770/20018] transplant_loss 3.7134, rec_loss 0.0491, quant_error 0.6423, utilization 0.1930, perplexity 10957.0865,
Train Epoch: [1/2] Iters:[780/20018] transplant_loss 3.7135, rec_loss 0.0485, quant_error 0.6430, utilization 0.1931, perplexity 10972.3254,
