dataset_dir: /datasets/
dataset_name: ImageNet
global_batch_size: 128
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8
max_patch_size: 8
codebook_size: 16384
codebook_dim: 16
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 0.2
gamma: 1.0
disc_weight: 0.2
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: wasserstein_vq
use_multiscale: False
transplant_epochs: 2
refinement_epochs: 5
eval_epochs: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 0.0001
stage: transplant
checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/Transplant/ImageNet
results_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/results/Transplant/ImageNet
saver_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/saver/Transplant/ImageNet
reconstruction_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/reconstruction/Transplant/ImageNet
yaml_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/yaml/Transplant/ImageNet
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/VQ-Transplant/pretrained_tokenizer/model.ckpt
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 64
ms_token_size: (1, 2, 3, 4, 5, 6, 8)
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/
data_pre: ImageNet
model_pre: model_16384_16_1
loss_pre: loss_1.0_0.2_1.0_0.2
training_pre: wasserstein_vq_transplant_False
saver_name_pre: wasserstein_vq_transplant_False_ImageNet_model_16384_16_1_loss_1.0_0.2_1.0_0.2
| distributed init (rank 0): env://
| distributed init (rank 1): env://
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
Working with z of shape (1, 16, 16, 16) = 4096 dimensions.
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
VQ Model Parameters: 69609635
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/2] Iters:[10/10009] transplant_loss 12.4875, rec_loss 0.1852, quant_error 2.9289, utilization 0.0340, perplexity 212.6122,
Train Epoch: [1/2] Iters:[20/10009] transplant_loss 16.4472, rec_loss 0.1609, quant_error 2.6497, utilization 0.0204, perplexity 120.0136,
Train Epoch: [1/2] Iters:[30/10009] transplant_loss 19.8542, rec_loss 0.1479, quant_error 2.5052, utilization 0.0193, perplexity 92.7344,
Train Epoch: [1/2] Iters:[40/10009] transplant_loss 22.4344, rec_loss 0.1395, quant_error 2.4093, utilization 0.0246, perplexity 81.6847,
Train Epoch: [1/2] Iters:[50/10009] transplant_loss 26.1685, rec_loss 0.1343, quant_error 2.3401, utilization 0.0349, perplexity 79.5841,
Train Epoch: [1/2] Iters:[60/10009] transplant_loss 34.7330, rec_loss 0.1204, quant_error 2.1620, utilization 0.0500, perplexity 57.9662,
Train Epoch: [1/2] Iters:[70/10009] transplant_loss 41.5447, rec_loss 0.1145, quant_error 2.0805, utilization 0.0742, perplexity 79.2112,
Train Epoch: [1/2] Iters:[80/10009] transplant_loss 44.9885, rec_loss 0.1112, quant_error 2.0177, utilization 0.0986, perplexity 104.7048,
Train Epoch: [1/2] Iters:[90/10009] transplant_loss 45.7214, rec_loss 0.1087, quant_error 1.9638, utilization 0.1212, perplexity 140.3130,
Train Epoch: [1/2] Iters:[100/10009] transplant_loss 43.6307, rec_loss 0.1052, quant_error 1.9055, utilization 0.1427, perplexity 193.7049,
Train Epoch: [1/2] Iters:[110/10009] transplant_loss 38.0639, rec_loss 0.1002, quant_error 1.8412, utilization 0.1607, perplexity 269.1601,
Train Epoch: [1/2] Iters:[120/10009] transplant_loss 31.6876, rec_loss 0.0967, quant_error 1.7728, utilization 0.1777, perplexity 373.6522,
Train Epoch: [1/2] Iters:[130/10009] transplant_loss 27.0793, rec_loss 0.0925, quant_error 1.7059, utilization 0.1963, perplexity 512.1922,
Train Epoch: [1/2] Iters:[140/10009] transplant_loss 24.1233, rec_loss 0.0891, quant_error 1.6400, utilization 0.2163, perplexity 682.1689,
Train Epoch: [1/2] Iters:[150/10009] transplant_loss 21.4258, rec_loss 0.0861, quant_error 1.5784, utilization 0.2363, perplexity 888.0531,
Train Epoch: [1/2] Iters:[160/10009] transplant_loss 18.9945, rec_loss 0.0839, quant_error 1.5107, utilization 0.2631, perplexity 1162.1765,
Train Epoch: [1/2] Iters:[170/10009] transplant_loss 17.6105, rec_loss 0.0814, quant_error 1.4529, utilization 0.2933, perplexity 1481.2295,
Train Epoch: [1/2] Iters:[180/10009] transplant_loss 16.3711, rec_loss 0.0793, quant_error 1.3915, utilization 0.3239, perplexity 1818.0160,
Train Epoch: [1/2] Iters:[190/10009] transplant_loss 15.6514, rec_loss 0.0779, quant_error 1.3326, utilization 0.3553, perplexity 2191.9451,
Train Epoch: [1/2] Iters:[200/10009] transplant_loss 15.2550, rec_loss 0.0763, quant_error 1.2746, utilization 0.3854, perplexity 2562.3821,
Train Epoch: [1/2] Iters:[210/10009] transplant_loss 15.0923, rec_loss 0.0748, quant_error 1.2276, utilization 0.4078, perplexity 2884.8781,
Train Epoch: [1/2] Iters:[220/10009] transplant_loss 15.0171, rec_loss 0.0738, quant_error 1.1860, utilization 0.4274, perplexity 3170.1201,
Train Epoch: [1/2] Iters:[230/10009] transplant_loss 15.0519, rec_loss 0.0731, quant_error 1.1488, utilization 0.4443, perplexity 3435.5901,
Train Epoch: [1/2] Iters:[240/10009] transplant_loss 14.9037, rec_loss 0.0715, quant_error 1.1174, utilization 0.4598, perplexity 3677.4694,
Train Epoch: [1/2] Iters:[250/10009] transplant_loss 14.7240, rec_loss 0.0703, quant_error 1.0902, utilization 0.4726, perplexity 3883.4015,
Train Epoch: [1/2] Iters:[260/10009] transplant_loss 14.7567, rec_loss 0.0696, quant_error 1.0672, utilization 0.4854, perplexity 4095.2260,
Train Epoch: [1/2] Iters:[270/10009] transplant_loss 14.5114, rec_loss 0.0691, quant_error 1.0437, utilization 0.4977, perplexity 4298.1855,
Train Epoch: [1/2] Iters:[280/10009] transplant_loss 14.3424, rec_loss 0.0685, quant_error 1.0256, utilization 0.5116, perplexity 4517.6265,
Train Epoch: [1/2] Iters:[290/10009] transplant_loss 14.2252, rec_loss 0.0678, quant_error 1.0074, utilization 0.5233, perplexity 4707.8455,
Train Epoch: [1/2] Iters:[300/10009] transplant_loss 14.0741, rec_loss 0.0677, quant_error 0.9938, utilization 0.5359, perplexity 4928.0597,
Train Epoch: [1/2] Iters:[310/10009] transplant_loss 13.8826, rec_loss 0.0677, quant_error 0.9811, utilization 0.5474, perplexity 5121.2635,
Train Epoch: [1/2] Iters:[320/10009] transplant_loss 13.7135, rec_loss 0.0668, quant_error 0.9698, utilization 0.5589, perplexity 5325.3308,
Train Epoch: [1/2] Iters:[330/10009] transplant_loss 13.6037, rec_loss 0.0662, quant_error 0.9595, utilization 0.5695, perplexity 5510.7922,
Train Epoch: [1/2] Iters:[340/10009] transplant_loss 13.3371, rec_loss 0.0659, quant_error 0.9497, utilization 0.5806, perplexity 5710.3949,
Train Epoch: [1/2] Iters:[350/10009] transplant_loss 13.1847, rec_loss 0.0656, quant_error 0.9407, utilization 0.5904, perplexity 5885.8442,
Train Epoch: [1/2] Iters:[360/10009] transplant_loss 12.9428, rec_loss 0.0646, quant_error 0.9297, utilization 0.6009, perplexity 6074.8531,
Train Epoch: [1/2] Iters:[370/10009] transplant_loss 12.7289, rec_loss 0.0645, quant_error 0.9199, utilization 0.6103, perplexity 6250.7149,
Train Epoch: [1/2] Iters:[380/10009] transplant_loss 12.4236, rec_loss 0.0641, quant_error 0.9126, utilization 0.6196, perplexity 6428.6558,
Train Epoch: [1/2] Iters:[390/10009] transplant_loss 12.2445, rec_loss 0.0635, quant_error 0.9036, utilization 0.6281, perplexity 6588.5816,
Train Epoch: [1/2] Iters:[400/10009] transplant_loss 11.9866, rec_loss 0.0632, quant_error 0.8947, utilization 0.6368, perplexity 6759.7793,
Train Epoch: [1/2] Iters:[410/10009] transplant_loss 11.7902, rec_loss 0.0629, quant_error 0.8889, utilization 0.6452, perplexity 6928.5322,
Train Epoch: [1/2] Iters:[420/10009] transplant_loss 11.6150, rec_loss 0.0625, quant_error 0.8846, utilization 0.6528, perplexity 7090.1613,
Train Epoch: [1/2] Iters:[430/10009] transplant_loss 11.4003, rec_loss 0.0627, quant_error 0.8776, utilization 0.6599, perplexity 7220.3577,
Train Epoch: [1/2] Iters:[440/10009] transplant_loss 11.2249, rec_loss 0.0629, quant_error 0.8728, utilization 0.6659, perplexity 7351.9999,
Train Epoch: [1/2] Iters:[450/10009] transplant_loss 11.0716, rec_loss 0.0622, quant_error 0.8674, utilization 0.6723, perplexity 7490.4013,
Train Epoch: [1/2] Iters:[460/10009] transplant_loss 10.8628, rec_loss 0.0620, quant_error 0.8622, utilization 0.6782, perplexity 7608.4090,
Train Epoch: [1/2] Iters:[470/10009] transplant_loss 10.6998, rec_loss 0.0612, quant_error 0.8554, utilization 0.6835, perplexity 7723.3616,
Train Epoch: [1/2] Iters:[480/10009] transplant_loss 10.5778, rec_loss 0.0609, quant_error 0.8502, utilization 0.6888, perplexity 7878.9420,
Train Epoch: [1/2] Iters:[490/10009] transplant_loss 10.3985, rec_loss 0.0611, quant_error 0.8443, utilization 0.6941, perplexity 8005.8623,
Train Epoch: [1/2] Iters:[500/10009] transplant_loss 10.2272, rec_loss 0.0607, quant_error 0.8378, utilization 0.6979, perplexity 8099.4011,
Train Epoch: [1/2] Iters:[510/10009] transplant_loss 10.0905, rec_loss 0.0603, quant_error 0.8313, utilization 0.7013, perplexity 8186.2350,
Train Epoch: [1/2] Iters:[520/10009] transplant_loss 9.9328, rec_loss 0.0609, quant_error 0.8259, utilization 0.7056, perplexity 8298.8795,
Train Epoch: [1/2] Iters:[530/10009] transplant_loss 9.8160, rec_loss 0.0604, quant_error 0.8220, utilization 0.7087, perplexity 8366.7714,
Train Epoch: [1/2] Iters:[540/10009] transplant_loss 9.6533, rec_loss 0.0591, quant_error 0.8152, utilization 0.7118, perplexity 8452.8548,
Train Epoch: [1/2] Iters:[550/10009] transplant_loss 9.5245, rec_loss 0.0591, quant_error 0.8105, utilization 0.7150, perplexity 8531.0647,
Train Epoch: [1/2] Iters:[560/10009] transplant_loss 9.4145, rec_loss 0.0593, quant_error 0.8065, utilization 0.7174, perplexity 8604.6521,
Train Epoch: [1/2] Iters:[570/10009] transplant_loss 9.3226, rec_loss 0.0592, quant_error 0.8055, utilization 0.7195, perplexity 8646.9685,
Train Epoch: [1/2] Iters:[580/10009] transplant_loss 9.1991, rec_loss 0.0597, quant_error 0.8018, utilization 0.7211, perplexity 8686.5753,
Train Epoch: [1/2] Iters:[590/10009] transplant_loss 9.1165, rec_loss 0.0597, quant_error 0.8000, utilization 0.7232, perplexity 8726.2812,
Train Epoch: [1/2] Iters:[600/10009] transplant_loss 9.0507, rec_loss 0.0599, quant_error 0.7964, utilization 0.7248, perplexity 8774.3537,
Train Epoch: [1/2] Iters:[610/10009] transplant_loss 8.9554, rec_loss 0.0594, quant_error 0.7933, utilization 0.7258, perplexity 8791.2980,
Train Epoch: [1/2] Iters:[620/10009] transplant_loss 8.8558, rec_loss 0.0594, quant_error 0.7857, utilization 0.7271, perplexity 8831.3902,
Train Epoch: [1/2] Iters:[630/10009] transplant_loss 8.7771, rec_loss 0.0597, quant_error 0.7850, utilization 0.7281, perplexity 8856.5266,
Train Epoch: [1/2] Iters:[640/10009] transplant_loss 8.7087, rec_loss 0.0596, quant_error 0.7819, utilization 0.7288, perplexity 8867.7373,
Train Epoch: [1/2] Iters:[650/10009] transplant_loss 8.6495, rec_loss 0.0595, quant_error 0.7797, utilization 0.7296, perplexity 8889.7263,
Train Epoch: [1/2] Iters:[660/10009] transplant_loss 8.5933, rec_loss 0.0595, quant_error 0.7765, utilization 0.7316, perplexity 8955.3202,
