dataset_dir: /project/6105494/shared/data/
dataset_name: Churches
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 16384
codebook_dim: 16
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 1.0
gamma: 1.0
disc_weight: 0.2
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: wasserstein_vq
use_multiscale: False
transplant_epochs: 20
refinement_epochs: 20
eval_epochs: 4
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 0.0001
stage: transplant
checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/Transplant/Churches
results_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/results/Transplant/Churches
saver_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/saver/Transplant/Churches
reconstruction_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/reconstruction/Transplant/Churches
yaml_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/yaml/Transplant/Churches
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/VQ-Transplant/pretrained_tokenizer/model.ckpt
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/
data_pre: Churches
model_pre: model_16384_16_1
loss_pre: loss_1.0_1.0_1.0_0.2
training_pre: wasserstein_vq_transplant_False
saver_name_pre: wasserstein_vq_transplant_False_Churches_model_16384_16_1_loss_1.0_1.0_1.0_0.2
| distributed init (rank 0): env://
| distributed init (rank 1): env://
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
Working with z of shape (1, 16, 16, 16) = 4096 dimensions.
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
VQ Model Parameters: 69609635
dataset name: Churches
len train_set: 126227
len val_set: 126227
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/20] Iters:[10/1972] transplant_loss 14.4638, rec_loss 0.1952, quant_error 2.7581, utilization 0.0260, perplexity 186.7343,
Train Epoch: [1/20] Iters:[20/1972] transplant_loss 18.3129, rec_loss 0.1607, quant_error 2.4251, utilization 0.0166, perplexity 104.4192,
Train Epoch: [1/20] Iters:[30/1972] transplant_loss 20.3544, rec_loss 0.1435, quant_error 2.2520, utilization 0.0210, perplexity 83.3266,
Train Epoch: [1/20] Iters:[40/1972] transplant_loss 20.3007, rec_loss 0.1333, quant_error 2.1309, utilization 0.0369, perplexity 86.2658,
Train Epoch: [1/20] Iters:[50/1972] transplant_loss 19.4410, rec_loss 0.1260, quant_error 2.0400, utilization 0.0629, perplexity 127.9972,
Train Epoch: [1/20] Iters:[60/1972] transplant_loss 18.7148, rec_loss 0.1047, quant_error 1.7936, utilization 0.1058, perplexity 275.6733,
Train Epoch: [1/20] Iters:[70/1972] transplant_loss 15.8798, rec_loss 0.0961, quant_error 1.6574, utilization 0.1654, perplexity 691.0753,
Train Epoch: [1/20] Iters:[80/1972] transplant_loss 12.4121, rec_loss 0.0904, quant_error 1.5351, utilization 0.2303, perplexity 1356.2352,
Train Epoch: [1/20] Iters:[90/1972] transplant_loss 9.7652, rec_loss 0.0849, quant_error 1.4219, utilization 0.2906, perplexity 2148.8713,
Train Epoch: [1/20] Iters:[100/1972] transplant_loss 7.9254, rec_loss 0.0799, quant_error 1.3128, utilization 0.3385, perplexity 2972.5237,
Train Epoch: [1/20] Iters:[110/1972] transplant_loss 7.0869, rec_loss 0.0763, quant_error 1.2156, utilization 0.3751, perplexity 3743.6611,
Train Epoch: [1/20] Iters:[120/1972] transplant_loss 6.7764, rec_loss 0.0734, quant_error 1.1289, utilization 0.4024, perplexity 4353.7683,
Train Epoch: [1/20] Iters:[130/1972] transplant_loss 6.6130, rec_loss 0.0706, quant_error 1.0568, utilization 0.4236, perplexity 4783.6811,
Train Epoch: [1/20] Iters:[140/1972] transplant_loss 6.4778, rec_loss 0.0688, quant_error 0.9988, utilization 0.4395, perplexity 5090.6742,
Train Epoch: [1/20] Iters:[150/1972] transplant_loss 6.3312, rec_loss 0.0669, quant_error 0.9476, utilization 0.4548, perplexity 5388.7802,
Train Epoch: [1/20] Iters:[160/1972] transplant_loss 6.1915, rec_loss 0.0666, quant_error 0.9149, utilization 0.4678, perplexity 5633.7350,
Train Epoch: [1/20] Iters:[170/1972] transplant_loss 6.0412, rec_loss 0.0657, quant_error 0.8878, utilization 0.4782, perplexity 5817.4203,
Train Epoch: [1/20] Iters:[180/1972] transplant_loss 5.8490, rec_loss 0.0648, quant_error 0.8637, utilization 0.4852, perplexity 5935.4898,
Train Epoch: [1/20] Iters:[190/1972] transplant_loss 5.6416, rec_loss 0.0641, quant_error 0.8437, utilization 0.4918, perplexity 6058.6845,
Train Epoch: [1/20] Iters:[200/1972] transplant_loss 5.4462, rec_loss 0.0646, quant_error 0.8296, utilization 0.4955, perplexity 6133.6026,
Train Epoch: [1/20] Iters:[210/1972] transplant_loss 5.2278, rec_loss 0.0629, quant_error 0.8113, utilization 0.4970, perplexity 6156.3519,
Train Epoch: [1/20] Iters:[220/1972] transplant_loss 5.0229, rec_loss 0.0627, quant_error 0.7972, utilization 0.4973, perplexity 6165.3711,
Train Epoch: [1/20] Iters:[230/1972] transplant_loss 4.8649, rec_loss 0.0627, quant_error 0.7879, utilization 0.4964, perplexity 6154.8828,
Train Epoch: [1/20] Iters:[240/1972] transplant_loss 4.7180, rec_loss 0.0628, quant_error 0.7788, utilization 0.4942, perplexity 6105.9781,
Train Epoch: [1/20] Iters:[250/1972] transplant_loss 4.5702, rec_loss 0.0624, quant_error 0.7692, utilization 0.4908, perplexity 6045.7632,
Train Epoch: [1/20] Iters:[260/1972] transplant_loss 4.4527, rec_loss 0.0624, quant_error 0.7620, utilization 0.4875, perplexity 5999.8784,
Train Epoch: [1/20] Iters:[270/1972] transplant_loss 4.3614, rec_loss 0.0619, quant_error 0.7571, utilization 0.4829, perplexity 5918.9353,
Train Epoch: [1/20] Iters:[280/1972] transplant_loss 4.2658, rec_loss 0.0614, quant_error 0.7502, utilization 0.4783, perplexity 5839.7674,
Train Epoch: [1/20] Iters:[290/1972] transplant_loss 4.1944, rec_loss 0.0604, quant_error 0.7417, utilization 0.4744, perplexity 5789.9909,
Train Epoch: [1/20] Iters:[300/1972] transplant_loss 4.1069, rec_loss 0.0590, quant_error 0.7346, utilization 0.4700, perplexity 5718.3950,
Train Epoch: [1/20] Iters:[310/1972] transplant_loss 4.0417, rec_loss 0.0589, quant_error 0.7277, utilization 0.4661, perplexity 5658.7192,
Train Epoch: [1/20] Iters:[320/1972] transplant_loss 3.9980, rec_loss 0.0587, quant_error 0.7224, utilization 0.4638, perplexity 5629.4365,
Train Epoch: [1/20] Iters:[330/1972] transplant_loss 3.9645, rec_loss 0.0588, quant_error 0.7191, utilization 0.4616, perplexity 5604.7034,
Train Epoch: [1/20] Iters:[340/1972] transplant_loss 3.9217, rec_loss 0.0588, quant_error 0.7143, utilization 0.4602, perplexity 5587.1986,
Train Epoch: [1/20] Iters:[350/1972] transplant_loss 3.9060, rec_loss 0.0587, quant_error 0.7075, utilization 0.4591, perplexity 5576.9005,
Train Epoch: [1/20] Iters:[360/1972] transplant_loss 3.8766, rec_loss 0.0580, quant_error 0.6994, utilization 0.4592, perplexity 5588.3142,
Train Epoch: [1/20] Iters:[370/1972] transplant_loss 3.8494, rec_loss 0.0572, quant_error 0.6913, utilization 0.4600, perplexity 5618.4426,
Train Epoch: [1/20] Iters:[380/1972] transplant_loss 3.8373, rec_loss 0.0569, quant_error 0.6851, utilization 0.4614, perplexity 5662.5329,
Train Epoch: [1/20] Iters:[390/1972] transplant_loss 3.8137, rec_loss 0.0563, quant_error 0.6801, utilization 0.4621, perplexity 5691.8931,
Train Epoch: [1/20] Iters:[400/1972] transplant_loss 3.8029, rec_loss 0.0567, quant_error 0.6771, utilization 0.4637, perplexity 5737.1667,
Train Epoch: [1/20] Iters:[410/1972] transplant_loss 3.7940, rec_loss 0.0568, quant_error 0.6736, utilization 0.4647, perplexity 5767.8544,
Train Epoch: [1/20] Iters:[420/1972] transplant_loss 3.7607, rec_loss 0.0564, quant_error 0.6687, utilization 0.4652, perplexity 5785.8378,
Train Epoch: [1/20] Iters:[430/1972] transplant_loss 3.7362, rec_loss 0.0560, quant_error 0.6637, utilization 0.4659, perplexity 5803.1266,
Train Epoch: [1/20] Iters:[440/1972] transplant_loss 3.7274, rec_loss 0.0555, quant_error 0.6596, utilization 0.4667, perplexity 5820.8108,
Train Epoch: [1/20] Iters:[450/1972] transplant_loss 3.7216, rec_loss 0.0546, quant_error 0.6561, utilization 0.4678, perplexity 5840.0542,
Train Epoch: [1/20] Iters:[460/1972] transplant_loss 3.7155, rec_loss 0.0544, quant_error 0.6557, utilization 0.4696, perplexity 5877.8144,
Train Epoch: [1/20] Iters:[470/1972] transplant_loss 3.7186, rec_loss 0.0546, quant_error 0.6530, utilization 0.4709, perplexity 5909.2155,
Train Epoch: [1/20] Iters:[480/1972] transplant_loss 3.7039, rec_loss 0.0537, quant_error 0.6482, utilization 0.4722, perplexity 5936.2371,
Train Epoch: [1/20] Iters:[490/1972] transplant_loss 3.6779, rec_loss 0.0534, quant_error 0.6438, utilization 0.4737, perplexity 5971.4320,
Train Epoch: [1/20] Iters:[500/1972] transplant_loss 3.6449, rec_loss 0.0531, quant_error 0.6390, utilization 0.4750, perplexity 5998.1695,
Train Epoch: [1/20] Iters:[510/1972] transplant_loss 3.6287, rec_loss 0.0524, quant_error 0.6343, utilization 0.4756, perplexity 6015.7280,
Train Epoch: [1/20] Iters:[520/1972] transplant_loss 3.6118, rec_loss 0.0519, quant_error 0.6317, utilization 0.4757, perplexity 6012.9188,
Train Epoch: [1/20] Iters:[530/1972] transplant_loss 3.6142, rec_loss 0.0521, quant_error 0.6301, utilization 0.4769, perplexity 6043.2319,
Train Epoch: [1/20] Iters:[540/1972] transplant_loss 3.6018, rec_loss 0.0516, quant_error 0.6269, utilization 0.4776, perplexity 6056.0626,
Train Epoch: [1/20] Iters:[550/1972] transplant_loss 3.6017, rec_loss 0.0515, quant_error 0.6258, utilization 0.4789, perplexity 6094.5369,
Train Epoch: [1/20] Iters:[560/1972] transplant_loss 3.5817, rec_loss 0.0519, quant_error 0.6235, utilization 0.4801, perplexity 6118.0693,
Train Epoch: [1/20] Iters:[570/1972] transplant_loss 3.5666, rec_loss 0.0522, quant_error 0.6225, utilization 0.4819, perplexity 6165.7000,
Train Epoch: [1/20] Iters:[580/1972] transplant_loss 3.5576, rec_loss 0.0530, quant_error 0.6221, utilization 0.4832, perplexity 6181.5513,
Train Epoch: [1/20] Iters:[590/1972] transplant_loss 3.5512, rec_loss 0.0532, quant_error 0.6184, utilization 0.4848, perplexity 6216.6058,
Train Epoch: [1/20] Iters:[600/1972] transplant_loss 3.5365, rec_loss 0.0531, quant_error 0.6170, utilization 0.4849, perplexity 6211.0215,
Train Epoch: [1/20] Iters:[610/1972] transplant_loss 3.5347, rec_loss 0.0528, quant_error 0.6157, utilization 0.4860, perplexity 6229.8272,
Train Epoch: [1/20] Iters:[620/1972] transplant_loss 3.5315, rec_loss 0.0525, quant_error 0.6137, utilization 0.4873, perplexity 6263.3657,
Train Epoch: [1/20] Iters:[630/1972] transplant_loss 3.5217, rec_loss 0.0517, quant_error 0.6117, utilization 0.4883, perplexity 6290.7425,
Train Epoch: [1/20] Iters:[640/1972] transplant_loss 3.5192, rec_loss 0.0518, quant_error 0.6135, utilization 0.4889, perplexity 6307.1928,
Train Epoch: [1/20] Iters:[650/1972] transplant_loss 3.5167, rec_loss 0.0518, quant_error 0.6107, utilization 0.4903, perplexity 6339.8962,
Train Epoch: [1/20] Iters:[660/1972] transplant_loss 3.5016, rec_loss 0.0517, quant_error 0.6093, utilization 0.4905, perplexity 6332.6204,
Train Epoch: [1/20] Iters:[670/1972] transplant_loss 3.4900, rec_loss 0.0517, quant_error 0.6052, utilization 0.4912, perplexity 6344.1837,
Train Epoch: [1/20] Iters:[680/1972] transplant_loss 3.4721, rec_loss 0.0514, quant_error 0.6015, utilization 0.4923, perplexity 6363.0258,
Train Epoch: [1/20] Iters:[690/1972] transplant_loss 3.4715, rec_loss 0.0517, quant_error 0.6005, utilization 0.4931, perplexity 6377.7508,
Train Epoch: [1/20] Iters:[700/1972] transplant_loss 3.4640, rec_loss 0.0517, quant_error 0.5989, utilization 0.4941, perplexity 6397.2670,
Train Epoch: [1/20] Iters:[710/1972] transplant_loss 3.4750, rec_loss 0.0519, quant_error 0.5981, utilization 0.4960, perplexity 6454.6547,
Train Epoch: [1/20] Iters:[720/1972] transplant_loss 3.4600, rec_loss 0.0513, quant_error 0.5953, utilization 0.4972, perplexity 6480.1193,
Train Epoch: [1/20] Iters:[730/1972] transplant_loss 3.4456, rec_loss 0.0515, quant_error 0.5935, utilization 0.4982, perplexity 6496.5855,
Train Epoch: [1/20] Iters:[740/1972] transplant_loss 3.4426, rec_loss 0.0516, quant_error 0.5916, utilization 0.4989, perplexity 6501.9539,
Train Epoch: [1/20] Iters:[750/1972] transplant_loss 3.4414, rec_loss 0.0516, quant_error 0.5906, utilization 0.5001, perplexity 6528.3516,
Train Epoch: [1/20] Iters:[760/1972] transplant_loss 3.4339, rec_loss 0.0516, quant_error 0.5902, utilization 0.5011, perplexity 6544.8699,
Train Epoch: [1/20] Iters:[770/1972] transplant_loss 3.4453, rec_loss 0.0519, quant_error 0.5920, utilization 0.5015, perplexity 6553.4432,
Train Epoch: [1/20] Iters:[780/1972] transplant_loss 3.4497, rec_loss 0.0511, quant_error 0.5909, utilization 0.5016, perplexity 6554.4046,
Train Epoch: [1/20] Iters:[790/1972] transplant_loss 3.4493, rec_loss 0.0506, quant_error 0.5912, utilization 0.5029, perplexity 6581.0856,
Train Epoch: [1/20] Iters:[800/1972] transplant_loss 3.4409, rec_loss 0.0509, quant_error 0.5885, utilization 0.5035, perplexity 6589.6223,
Train Epoch: [1/20] Iters:[810/1972] transplant_loss 3.4343, rec_loss 0.0503, quant_error 0.5860, utilization 0.5039, perplexity 6596.3573,
Train Epoch: [1/20] Iters:[820/1972] transplant_loss 3.4438, rec_loss 0.0508, quant_error 0.5880, utilization 0.5041, perplexity 6598.1743,
Train Epoch: [1/20] Iters:[830/1972] transplant_loss 3.4561, rec_loss 0.0512, quant_error 0.5887, utilization 0.5046, perplexity 6613.8861,
Train Epoch: [1/20] Iters:[840/1972] transplant_loss 3.4478, rec_loss 0.0517, quant_error 0.5867, utilization 0.5046, perplexity 6621.4337,
Train Epoch: [1/20] Iters:[850/1972] transplant_loss 3.4418, rec_loss 0.0509, quant_error 0.5862, utilization 0.5048, perplexity 6628.9253,
Train Epoch: [1/20] Iters:[860/1972] transplant_loss 3.4405, rec_loss 0.0511, quant_error 0.5865, utilization 0.5054, perplexity 6641.3775,
Train Epoch: [1/20] Iters:[870/1972] transplant_loss 3.4227, rec_loss 0.0504, quant_error 0.5819, utilization 0.5068, perplexity 6668.6691,
Train Epoch: [1/20] Iters:[880/1972] transplant_loss 3.4022, rec_loss 0.0506, quant_error 0.5801, utilization 0.5082, perplexity 6695.7369,
Train Epoch: [1/20] Iters:[890/1972] transplant_loss 3.4024, rec_loss 0.0499, quant_error 0.5794, utilization 0.5093, perplexity 6710.1399,
Train Epoch: [1/20] Iters:[900/1972] transplant_loss 3.3944, rec_loss 0.0504, quant_error 0.5778, utilization 0.5095, perplexity 6703.9812,
Train Epoch: [1/20] Iters:[910/1972] transplant_loss 3.3953, rec_loss 0.0500, quant_error 0.5743, utilization 0.5100, perplexity 6706.9806,
Train Epoch: [1/20] Iters:[920/1972] transplant_loss 3.3933, rec_loss 0.0500, quant_error 0.5749, utilization 0.5105, perplexity 6717.5324,
Train Epoch: [1/20] Iters:[930/1972] transplant_loss 3.4052, rec_loss 0.0498, quant_error 0.5744, utilization 0.5111, perplexity 6734.2658,
Train Epoch: [1/20] Iters:[940/1972] transplant_loss 3.3862, rec_loss 0.0495, quant_error 0.5709, utilization 0.5117, perplexity 6746.3488,
Train Epoch: [1/20] Iters:[950/1972] transplant_loss 3.3859, rec_loss 0.0497, quant_error 0.5716, utilization 0.5130, perplexity 6782.9612,
Train Epoch: [1/20] Iters:[960/1972] transplant_loss 3.3723, rec_loss 0.0495, quant_error 0.5706, utilization 0.5144, perplexity 6816.4017,
Train Epoch: [1/20] Iters:[970/1972] transplant_loss 3.3567, rec_loss 0.0498, quant_error 0.5676, utilization 0.5147, perplexity 6819.6008,
Train Epoch: [1/20] Iters:[980/1972] transplant_loss 3.3474, rec_loss 0.0500, quant_error 0.5669, utilization 0.5154, perplexity 6833.0339,
Train Epoch: [1/20] Iters:[990/1972] transplant_loss 3.3530, rec_loss 0.0505, quant_error 0.5694, utilization 0.5163, perplexity 6852.5123,
Train Epoch: [1/20] Iters:[1000/1972] transplant_loss 3.3617, rec_loss 0.0503, quant_error 0.5695, utilization 0.5172, perplexity 6870.1722,
Train Epoch: [1/20] Iters:[1010/1972] transplant_loss 3.3512, rec_loss 0.0502, quant_error 0.5680, utilization 0.5176, perplexity 6876.2819,
Train Epoch: [1/20] Iters:[1020/1972] transplant_loss 3.3661, rec_loss 0.0504, quant_error 0.5693, utilization 0.5185, perplexity 6904.4063,
Train Epoch: [1/20] Iters:[1030/1972] transplant_loss 3.3489, rec_loss 0.0501, quant_error 0.5673, utilization 0.5186, perplexity 6902.4218,
Train Epoch: [1/20] Iters:[1040/1972] transplant_loss 3.3503, rec_loss 0.0502, quant_error 0.5662, utilization 0.5191, perplexity 6913.2862,
Train Epoch: [1/20] Iters:[1050/1972] transplant_loss 3.3491, rec_loss 0.0500, quant_error 0.5653, utilization 0.5194, perplexity 6917.1963,
Train Epoch: [1/20] Iters:[1060/1972] transplant_loss 3.3558, rec_loss 0.0502, quant_error 0.5671, utilization 0.5190, perplexity 6902.7656,
Train Epoch: [1/20] Iters:[1070/1972] transplant_loss 3.3428, rec_loss 0.0496, quant_error 0.5645, utilization 0.5190, perplexity 6901.4975,
Train Epoch: [1/20] Iters:[1080/1972] transplant_loss 3.3427, rec_loss 0.0492, quant_error 0.5640, utilization 0.5202, perplexity 6929.2764,
Train Epoch: [1/20] Iters:[1090/1972] transplant_loss 3.3299, rec_loss 0.0491, quant_error 0.5628, utilization 0.5207, perplexity 6931.2544,
Train Epoch: [1/20] Iters:[1100/1972] transplant_loss 3.3055, rec_loss 0.0489, quant_error 0.5596, utilization 0.5214, perplexity 6943.5330,
Train Epoch: [1/20] Iters:[1110/1972] transplant_loss 3.2990, rec_loss 0.0491, quant_error 0.5574, utilization 0.5226, perplexity 6972.3560,
Train Epoch: [1/20] Iters:[1120/1972] transplant_loss 3.2966, rec_loss 0.0493, quant_error 0.5585, utilization 0.5232, perplexity 6977.3276,
Train Epoch: [1/20] Iters:[1130/1972] transplant_loss 3.2887, rec_loss 0.0491, quant_error 0.5564, utilization 0.5228, perplexity 6961.0438,
Train Epoch: [1/20] Iters:[1140/1972] transplant_loss 3.2881, rec_loss 0.0491, quant_error 0.5556, utilization 0.5236, perplexity 6982.8530,
Train Epoch: [1/20] Iters:[1150/1972] transplant_loss 3.3222, rec_loss 0.0494, quant_error 0.5585, utilization 0.5236, perplexity 6978.8103,
Train Epoch: [1/20] Iters:[1160/1972] transplant_loss 3.3093, rec_loss 0.0486, quant_error 0.5574, utilization 0.5238, perplexity 6982.4775,
Train Epoch: [1/20] Iters:[1170/1972] transplant_loss 3.3128, rec_loss 0.0489, quant_error 0.5565, utilization 0.5244, perplexity 6999.4366,
Train Epoch: [1/20] Iters:[1180/1972] transplant_loss 3.3304, rec_loss 0.0495, quant_error 0.5581, utilization 0.5247, perplexity 7014.2250,
Train Epoch: [1/20] Iters:[1190/1972] transplant_loss 3.3263, rec_loss 0.0489, quant_error 0.5563, utilization 0.5248, perplexity 7015.7564,
Train Epoch: [1/20] Iters:[1200/1972] transplant_loss 3.2999, rec_loss 0.0486, quant_error 0.5537, utilization 0.5250, perplexity 7024.0228,
Train Epoch: [1/20] Iters:[1210/1972] transplant_loss 3.3147, rec_loss 0.0492, quant_error 0.5547, utilization 0.5257, perplexity 7039.7412,
Train Epoch: [1/20] Iters:[1220/1972] transplant_loss 3.3103, rec_loss 0.0485, quant_error 0.5526, utilization 0.5262, perplexity 7037.2889,
Train Epoch: [1/20] Iters:[1230/1972] transplant_loss 3.3129, rec_loss 0.0481, quant_error 0.5520, utilization 0.5275, perplexity 7066.2293,
Train Epoch: [1/20] Iters:[1240/1972] transplant_loss 3.3222, rec_loss 0.0484, quant_error 0.5523, utilization 0.5275, perplexity 7062.0290,
Train Epoch: [1/20] Iters:[1250/1972] transplant_loss 3.3181, rec_loss 0.0484, quant_error 0.5514, utilization 0.5282, perplexity 7072.4265,
