dataset_dir: /datasets/
dataset_name: ImageNet
global_batch_size: 64
workers: 8
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8
max_patch_size: 8
codebook_size: 16384
codebook_dim: 8
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.0
disc_weight: 0.2
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: ema_vq
use_multiscale: False
transplant_epochs: 5
refinement_epochs: 5
eval_epochs: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 0.0001
stage: transplant
checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/Transplant/ImageNet
results_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/results/Transplant/ImageNet
saver_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/saver/Transplant/ImageNet
reconstruction_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/reconstruction/Transplant/ImageNet
yaml_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/yaml/Transplant/ImageNet
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/VQ-Transplant/pretrained_tokenizer/dc-ae-f32c32-sana-1.0.safetensors
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 1
batch_size: 64
ms_token_size: (1, 2, 3, 4, 5, 6, 8)
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/
data_pre: ImageNet
model_pre: model_16384_8_1
loss_pre: loss_1.0_1.0_0.0_0.2
training_pre: ema_vq_transplant_False
saver_name_pre: ema_vq_transplant_False_ImageNet_model_16384_8_1_loss_1.0_1.0_0.0_0.2
| distributed init (rank 0): env://
VQ Model Parameters: 312250275
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/5] Iters:[10/20018] transplant_loss 2.6990, rec_loss 0.0501, quant_error 0.5494,
Train Epoch: [1/5] Iters:[20/20018] transplant_loss 2.0303, rec_loss 0.0468, quant_error 0.4274,
Train Epoch: [1/5] Iters:[30/20018] transplant_loss 1.7800, rec_loss 0.0454, quant_error 0.3807,
Train Epoch: [1/5] Iters:[40/20018] transplant_loss 1.6443, rec_loss 0.0441, quant_error 0.3554,
Train Epoch: [1/5] Iters:[50/20018] transplant_loss 1.5583, rec_loss 0.0439, quant_error 0.3404,
Train Epoch: [1/5] Iters:[60/20018] transplant_loss 1.2592, rec_loss 0.0419, quant_error 0.2863,
Train Epoch: [1/5] Iters:[70/20018] transplant_loss 1.2223, rec_loss 0.0412, quant_error 0.2801,
Train Epoch: [1/5] Iters:[80/20018] transplant_loss 1.1961, rec_loss 0.0409, quant_error 0.2764,
Train Epoch: [1/5] Iters:[90/20018] transplant_loss 1.1744, rec_loss 0.0411, quant_error 0.2738,
Train Epoch: [1/5] Iters:[100/20018] transplant_loss 1.1550, rec_loss 0.0409, quant_error 0.2710,
Train Epoch: [1/5] Iters:[110/20018] transplant_loss 1.1348, rec_loss 0.0409, quant_error 0.2678,
Train Epoch: [1/5] Iters:[120/20018] transplant_loss 1.1165, rec_loss 0.0405, quant_error 0.2645,
Train Epoch: [1/5] Iters:[130/20018] transplant_loss 1.1026, rec_loss 0.0405, quant_error 0.2624,
Train Epoch: [1/5] Iters:[140/20018] transplant_loss 1.0891, rec_loss 0.0397, quant_error 0.2604,
Train Epoch: [1/5] Iters:[150/20018] transplant_loss 1.0771, rec_loss 0.0397, quant_error 0.2583,
Train Epoch: [1/5] Iters:[160/20018] transplant_loss 1.0649, rec_loss 0.0394, quant_error 0.2560,
Train Epoch: [1/5] Iters:[170/20018] transplant_loss 1.0526, rec_loss 0.0399, quant_error 0.2540,
Train Epoch: [1/5] Iters:[180/20018] transplant_loss 1.0430, rec_loss 0.0398, quant_error 0.2528,
Train Epoch: [1/5] Iters:[190/20018] transplant_loss 1.0349, rec_loss 0.0400, quant_error 0.2513,
