dataset_dir: /datasets/
dataset_name: ImageNet
global_batch_size: 64
workers: 8
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8
max_patch_size: 8
codebook_size: 16384
codebook_dim: 8
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.5
disc_weight: 0.2
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: wasserstein_vq
use_multiscale: False
transplant_epochs: 5
refinement_epochs: 5
eval_epochs: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 0.0001
stage: transplant
checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/Transplant/ImageNet
results_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/results/Transplant/ImageNet
saver_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/saver/Transplant/ImageNet
reconstruction_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/reconstruction/Transplant/ImageNet
yaml_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/yaml/Transplant/ImageNet
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/VQ-Transplant/pretrained_tokenizer/dc-ae-f32c32-sana-1.0.safetensors
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 1
batch_size: 64
ms_token_size: (1, 2, 3, 4, 5, 6, 8)
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/
data_pre: ImageNet
model_pre: model_16384_8_1
loss_pre: loss_1.0_1.0_0.5_0.2
training_pre: wasserstein_vq_transplant_False
saver_name_pre: wasserstein_vq_transplant_False_ImageNet_model_16384_8_1_loss_1.0_1.0_0.5_0.2
| distributed init (rank 0): env://
VQ Model Parameters: 312250275
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/5] Iters:[10/20018] transplant_loss 65.6855, rec_loss 0.1904, quant_error 3.7303,
Train Epoch: [1/5] Iters:[20/20018] transplant_loss 66.3570, rec_loss 0.1599, quant_error 3.1172,
Train Epoch: [1/5] Iters:[30/20018] transplant_loss 60.5158, rec_loss 0.1437, quant_error 2.7345,
Train Epoch: [1/5] Iters:[40/20018] transplant_loss 55.1321, rec_loss 0.1343, quant_error 2.4916,
Train Epoch: [1/5] Iters:[50/20018] transplant_loss 50.6148, rec_loss 0.1286, quant_error 2.3192,
Train Epoch: [1/5] Iters:[60/20018] transplant_loss 43.1852, rec_loss 0.1104, quant_error 1.8909,
Train Epoch: [1/5] Iters:[70/20018] transplant_loss 34.5890, rec_loss 0.1050, quant_error 1.6973,
Train Epoch: [1/5] Iters:[80/20018] transplant_loss 28.8366, rec_loss 0.1031, quant_error 1.5963,
Train Epoch: [1/5] Iters:[90/20018] transplant_loss 24.4151, rec_loss 0.1019, quant_error 1.5245,
Train Epoch: [1/5] Iters:[100/20018] transplant_loss 20.7620, rec_loss 0.0999, quant_error 1.4647,
Train Epoch: [1/5] Iters:[110/20018] transplant_loss 17.4396, rec_loss 0.0985, quant_error 1.3955,
Train Epoch: [1/5] Iters:[120/20018] transplant_loss 14.7245, rec_loss 0.0952, quant_error 1.3226,
Train Epoch: [1/5] Iters:[130/20018] transplant_loss 12.5321, rec_loss 0.0922, quant_error 1.2498,
Train Epoch: [1/5] Iters:[140/20018] transplant_loss 10.7602, rec_loss 0.0878, quant_error 1.1741,
Train Epoch: [1/5] Iters:[150/20018] transplant_loss 9.3685, rec_loss 0.0846, quant_error 1.1043,
Train Epoch: [1/5] Iters:[160/20018] transplant_loss 8.3509, rec_loss 0.0817, quant_error 1.0446,
Train Epoch: [1/5] Iters:[170/20018] transplant_loss 7.5100, rec_loss 0.0795, quant_error 0.9906,
Train Epoch: [1/5] Iters:[180/20018] transplant_loss 6.8713, rec_loss 0.0773, quant_error 0.9469,
Train Epoch: [1/5] Iters:[190/20018] transplant_loss 6.3825, rec_loss 0.0759, quant_error 0.9126,
Train Epoch: [1/5] Iters:[200/20018] transplant_loss 5.9499, rec_loss 0.0745, quant_error 0.8804,
Train Epoch: [1/5] Iters:[210/20018] transplant_loss 5.6032, rec_loss 0.0729, quant_error 0.8530,
Train Epoch: [1/5] Iters:[220/20018] transplant_loss 5.3191, rec_loss 0.0721, quant_error 0.8306,
Train Epoch: [1/5] Iters:[230/20018] transplant_loss 5.0526, rec_loss 0.0709, quant_error 0.8058,
Train Epoch: [1/5] Iters:[240/20018] transplant_loss 4.8567, rec_loss 0.0704, quant_error 0.7839,
Train Epoch: [1/5] Iters:[250/20018] transplant_loss 4.7326, rec_loss 0.0690, quant_error 0.7666,
Train Epoch: [1/5] Iters:[260/20018] transplant_loss 4.5987, rec_loss 0.0679, quant_error 0.7473,
Train Epoch: [1/5] Iters:[270/20018] transplant_loss 4.4860, rec_loss 0.0666, quant_error 0.7291,
