dataset_dir: /datasets/
dataset_name: ImageNet
global_batch_size: 64
workers: 8
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8
max_patch_size: 8
codebook_size: 16384
codebook_dim: 32
project_dim: 16
pq: 1
L: 4
gamma: 0.5
disc_weight: 0.2
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: wasserstein_vq
residual: False
use_multiscale: False
transplant_epochs: 5
refinement_epochs: 5
eval_epochs: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 0.0001
stage: transplant
checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/Transplant/ImageNet
results_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/results/Transplant/ImageNet
saver_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/saver/Transplant/ImageNet
reconstruction_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/reconstruction/Transplant/ImageNet
yaml_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/yaml/Transplant/ImageNet
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/VQ-Transplant/pretrained_tokenizer/dc-ae-f32c32-sana-1.0.safetensors
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 1
batch_size: 64
ms_token_size: (1, 2, 3, 4, 5, 6, 8)
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/
data_pre: ImageNet
model_pre: model_16384_32_1
loss_pre: loss_0.5_0.2
training_pre: wasserstein_vq_transplant_False_False
saver_name_pre: wasserstein_vq_transplant_False_False_ImageNet_model_16384_32_1_loss_0.5_0.2
| distributed init (rank 0): env://
VQ Model Parameters: 312250275
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.010000
Train Epoch: [1/5] Iters:[10/20018] transplant_loss 9.0725, rec_loss 0.3065, quant_error 5.0809, utilization 0.1117, perplexity 1211.4079,
Train Epoch: [1/5] Iters:[20/20018] transplant_loss 9.6773, rec_loss 0.3097, quant_error 5.1003, utilization 0.1011, perplexity 1008.4668,
Train Epoch: [1/5] Iters:[30/20018] transplant_loss 9.8390, rec_loss 0.3063, quant_error 5.0680, utilization 0.0900, perplexity 838.3070,
Train Epoch: [1/5] Iters:[40/20018] transplant_loss 9.9322, rec_loss 0.3075, quant_error 5.0733, utilization 0.0830, perplexity 728.0331,
Train Epoch: [1/5] Iters:[50/20018] transplant_loss 9.9696, rec_loss 0.3061, quant_error 5.0576, utilization 0.0789, perplexity 659.4182,
Train Epoch: [1/5] Iters:[60/20018] transplant_loss 10.2067, rec_loss 0.3067, quant_error 5.0613, utilization 0.0694, perplexity 493.0928,
Train Epoch: [1/5] Iters:[70/20018] transplant_loss 10.2040, rec_loss 0.3063, quant_error 5.0606, utilization 0.0645, perplexity 407.4148,
Train Epoch: [1/5] Iters:[80/20018] transplant_loss 10.2083, rec_loss 0.3081, quant_error 5.0677, utilization 0.0640, perplexity 379.6106,
Train Epoch: [1/5] Iters:[90/20018] transplant_loss 10.2101, rec_loss 0.3063, quant_error 5.0632, utilization 0.0654, perplexity 373.8756,
Train Epoch: [1/5] Iters:[100/20018] transplant_loss 10.2089, rec_loss 0.3059, quant_error 5.0677, utilization 0.0665, perplexity 369.5561,
Train Epoch: [1/5] Iters:[110/20018] transplant_loss 10.1822, rec_loss 0.3038, quant_error 5.0483, utilization 0.0678, perplexity 367.2211,
Train Epoch: [1/5] Iters:[120/20018] transplant_loss 10.1744, rec_loss 0.3033, quant_error 5.0419, utilization 0.0688, perplexity 365.7669,
Train Epoch: [1/5] Iters:[130/20018] transplant_loss 10.1829, rec_loss 0.3040, quant_error 5.0502, utilization 0.0700, perplexity 367.1849,
Train Epoch: [1/5] Iters:[140/20018] transplant_loss 10.1373, rec_loss 0.3018, quant_error 5.0191, utilization 0.0712, perplexity 370.2806,
Train Epoch: [1/5] Iters:[150/20018] transplant_loss 10.1208, rec_loss 0.3020, quant_error 5.0043, utilization 0.0726, perplexity 375.0466,
Train Epoch: [1/5] Iters:[160/20018] transplant_loss 10.1186, rec_loss 0.3031, quant_error 5.0050, utilization 0.0734, perplexity 376.7205,
Train Epoch: [1/5] Iters:[170/20018] transplant_loss 10.0867, rec_loss 0.3030, quant_error 4.9859, utilization 0.0743, perplexity 377.7096,
Train Epoch: [1/5] Iters:[180/20018] transplant_loss 10.0720, rec_loss 0.3017, quant_error 4.9754, utilization 0.0753, perplexity 381.4647,
Train Epoch: [1/5] Iters:[190/20018] transplant_loss 10.0995, rec_loss 0.3053, quant_error 4.9995, utilization 0.0763, perplexity 385.2843,
Train Epoch: [1/5] Iters:[200/20018] transplant_loss 10.1084, rec_loss 0.3054, quant_error 5.0056, utilization 0.0770, perplexity 387.9511,
Train Epoch: [1/5] Iters:[210/20018] transplant_loss 10.1315, rec_loss 0.3063, quant_error 5.0244, utilization 0.0778, perplexity 391.3681,
Train Epoch: [1/5] Iters:[220/20018] transplant_loss 10.1532, rec_loss 0.3061, quant_error 5.0359, utilization 0.0788, perplexity 398.7948,
Train Epoch: [1/5] Iters:[230/20018] transplant_loss 10.1421, rec_loss 0.3049, quant_error 5.0258, utilization 0.0797, perplexity 403.3330,
Train Epoch: [1/5] Iters:[240/20018] transplant_loss 10.1279, rec_loss 0.3030, quant_error 5.0166, utilization 0.0798, perplexity 403.3082,
Train Epoch: [1/5] Iters:[250/20018] transplant_loss 10.1353, rec_loss 0.3033, quant_error 5.0235, utilization 0.0802, perplexity 403.4442,
Train Epoch: [1/5] Iters:[260/20018] transplant_loss 10.0917, rec_loss 0.3021, quant_error 4.9925, utilization 0.0807, perplexity 407.0538,
Train Epoch: [1/5] Iters:[270/20018] transplant_loss 10.0660, rec_loss 0.3027, quant_error 4.9792, utilization 0.0809, perplexity 405.0790,
Train Epoch: [1/5] Iters:[280/20018] transplant_loss 10.0854, rec_loss 0.3055, quant_error 4.9959, utilization 0.0807, perplexity 403.6701,
Train Epoch: [1/5] Iters:[290/20018] transplant_loss 10.1222, rec_loss 0.3093, quant_error 5.0220, utilization 0.0808, perplexity 402.4213,
Train Epoch: [1/5] Iters:[300/20018] transplant_loss 10.1252, rec_loss 0.3099, quant_error 5.0207, utilization 0.0807, perplexity 401.4519,
