dataset_dir: /datasets/
dataset_name: ImageNet
global_batch_size: 64
workers: 8
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8
max_patch_size: 8
codebook_size: 16384
codebook_dim: 8
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.5
disc_weight: 0.2
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: wasserstein_vq
use_multiscale: False
transplant_epochs: 5
refinement_epochs: 5
eval_epochs: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 0.0001
stage: transplant
checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/Transplant/ImageNet
results_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/results/Transplant/ImageNet
saver_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/saver/Transplant/ImageNet
reconstruction_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/reconstruction/Transplant/ImageNet
yaml_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/yaml/Transplant/ImageNet
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/VQ-Transplant/pretrained_tokenizer/dc-ae-f32c32-sana-1.0.safetensors
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 1
batch_size: 64
ms_token_size: (1, 2, 3, 4, 5, 6, 8)
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/
data_pre: ImageNet
model_pre: model_16384_8_1
loss_pre: loss_1.0_1.0_0.5_0.2
training_pre: wasserstein_vq_transplant_False
saver_name_pre: wasserstein_vq_transplant_False_ImageNet_model_16384_8_1_loss_1.0_1.0_0.5_0.2
| distributed init (rank 0): env://
VQ Model Parameters: 312250275
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/5] Iters:[10/20018] transplant_loss 78.3526, rec_loss 0.1906, quant_error 3.7536,
Train Epoch: [1/5] Iters:[20/20018] transplant_loss 82.2600, rec_loss 0.1598, quant_error 3.1567,
Train Epoch: [1/5] Iters:[30/20018] transplant_loss 79.8854, rec_loss 0.1434, quant_error 2.7925,
Train Epoch: [1/5] Iters:[40/20018] transplant_loss 76.8143, rec_loss 0.1337, quant_error 2.5653,
Train Epoch: [1/5] Iters:[50/20018] transplant_loss 74.0190, rec_loss 0.1275, quant_error 2.4015,
Train Epoch: [1/5] Iters:[60/20018] transplant_loss 70.3606, rec_loss 0.1091, quant_error 1.9903,
Train Epoch: [1/5] Iters:[70/20018] transplant_loss 64.0430, rec_loss 0.1033, quant_error 1.8059,
Train Epoch: [1/5] Iters:[80/20018] transplant_loss 58.7289, rec_loss 0.1015, quant_error 1.7078,
Train Epoch: [1/5] Iters:[90/20018] transplant_loss 53.8346, rec_loss 0.1008, quant_error 1.6378,
Train Epoch: [1/5] Iters:[100/20018] transplant_loss 48.8521, rec_loss 0.1000, quant_error 1.5886,
Train Epoch: [1/5] Iters:[110/20018] transplant_loss 43.5368, rec_loss 0.0995, quant_error 1.5372,
Train Epoch: [1/5] Iters:[120/20018] transplant_loss 38.6573, rec_loss 0.0981, quant_error 1.4883,
Train Epoch: [1/5] Iters:[130/20018] transplant_loss 34.3964, rec_loss 0.0967, quant_error 1.4398,
Train Epoch: [1/5] Iters:[140/20018] transplant_loss 30.6816, rec_loss 0.0935, quant_error 1.3836,
Train Epoch: [1/5] Iters:[150/20018] transplant_loss 27.6588, rec_loss 0.0912, quant_error 1.3255,
Train Epoch: [1/5] Iters:[160/20018] transplant_loss 25.2111, rec_loss 0.0894, quant_error 1.2702,
Train Epoch: [1/5] Iters:[170/20018] transplant_loss 23.1005, rec_loss 0.0873, quant_error 1.2127,
Train Epoch: [1/5] Iters:[180/20018] transplant_loss 21.3937, rec_loss 0.0852, quant_error 1.1631,
Train Epoch: [1/5] Iters:[190/20018] transplant_loss 19.9957, rec_loss 0.0837, quant_error 1.1208,
